S-No.,variant 1,variant 2,variant 3,variant 4,variant 5,variant 6
145,133.455,129.698,153.985,1.242,1.097,5
146,130.949,132.923,149.051,1.143,1.144,2
147,132.316,122.425,151.955,1.258,1.052,1
148,131.721,120.359,145.478,1.003,1.135,0
149,134.874,120.244,141.55,1.246,1.343,0
150,125.478,125.656,147.336,1.224,1.094,0
151,125.621,121.157,146.416,1.382,1.158,1
152,130.732,133.393,147.05,1.382,1.159,3
153,131.869,129.176,135.866,1.133,1.242,4
154,137.756,126.82,145.473,1.259,1.005,1
155,133.481,130.292,137.583,1.131,1.272,3
156,124.48,129.785,147.546,1.07,1.18,1
157,131.59,132.483,151.283,1.369,1.296,2
158,133.632,134.909,149.815,1.006,1.266,0
159,121.524,125.103,145.649,1.195,1.066,1
160,123.151,125.318,147.461,1.059,1.083,1
161,132.622,130.649,148.444,1.006,1.023,5
162,125.58,128.729,137.094,1.168,1.173,4
163,121.747,132.84,136.481,1.112,1.391,0
164,123.045,133.491,141.944,1.205,1.398,3
165,124.904,130.969,144.837,1.121,1.118,4
166,137.496,131.235,147.43,1.044,1.124,0
167,126.283,130.081,135.914,1.236,1.113,2
168,136.274,132.108,151.475,1.029,1.281,2
169,123.543,122.149,144.608,1.294,1.374,0
170,135.087,130.258,145.336,1.087,1.27,0
171,135.554,123.728,148.181,1.273,1.358,3
172,128.708,125.022,145.594,1.203,1.341,2
173,135.548,122.494,135.314,1.372,1.26,1
174,123.4,124.053,147.74,1.133,1.063,5
175,128.939,123.819,143.569,1.181,1.177,5
176,134.433,127.145,147.801,1.15,1.197,5
177,135.5,125.273,149.159,0.988,1.375,4
178,121.735,123.992,144.416,1.295,1.044,0
179,134.936,130.425,142.855,1.156,1.034,1
180,132.495,129.425,148.228,1.259,1.034,3
181,132.203,121.587,135.645,1.315,1.374,4
182,125.805,130.237,152.722,0.957,1.352,4
183,130.178,129.236,135.747,1.136,1.155,3
184,124.972,123.625,144.217,1.196,1.222,5
185,132.303,129.254,138.653,1.223,1.181,2
186,122.374,128.843,147.057,1.217,1.245,5
187,131.659,122.911,142.564,1.153,1.31,1
188,127.304,120.158,141.461,1.162,1.332,2
189,123.013,123.017,144.629,1.313,1.372,0
190,133.511,126.014,135.333,1.372,1.097,4
191,127.236,129.721,137.377,1.258,1.051,3
192,132.809,128.401,141.005,1.149,1.26,1
193,122.911,128.428,138.408,0.994,1.144,3
194,121.332,125.931,137.482,1.086,1.206,4
195,133.311,122.225,151.192,1.386,1.34,4
196,122.057,133.539,146.705,1.056,1.313,0
197,137.675,133.751,150.606,1.197,1.252,4
198,125.922,122.613,150.313,1.065,1.004,1
199,134.448,125.625,153.487,1.381,1.324,4
200,131.674,124.276,142.181,1.064,1.088,0
201,136.229,131.714,152.624,1.147,1.367,0
202,130.272,123.305,138.272,1.263,1.322,2
203,130.453,132.943,139.139,1.155,1.302,0
204,133.785,131.488,136.014,1.245,1.208,0
205,124.634,132.569,141.965,1.352,1.259,1
206,127.625,134.464,142.142,1.233,1.29,3
207,135.939,122.252,146.691,1.281,1.237,0
208,125.433,120.048,141.202,1.018,1.28,1
209,135.281,120.813,148.166,1.019,1.191,5
210,132.228,132.161,146.136,1.048,1.037,2
211,128.578,125.006,150.406,0.951,1.26,5
212,131.957,125.714,145.182,1.345,1.13,4
213,128.429,122.723,150.97,1.073,1.269,1
214,127.399,120.975,148.562,1.302,1.059,4
215,135.03,129.495,141.311,1.312,1.33,1
216,123.687,123.321,149.436,0.994,1.083,5
217,128.537,122.418,145.757,0.96,1.261,0
218,135.903,134.444,140.742,0.977,1.339,5
219,123.47,128.494,146.029,0.98,1.189,0
220,126.889,132.825,136.784,1.264,1.303,3
221,123.325,133.297,137.938,0.966,1.258,2
222,126.644,122.729,152.955,1.27,1.008,0
223,125.239,127.178,151.055,1.106,1.223,1
224,137.001,123.176,135.818,1.092,1.263,1
225,121.393,122.803,140.047,1.186,1.359,3
226,135.311,123.804,139.974,1.127,1.214,0
227,131.352,121.879,140.249,1.308,1.365,4
228,136.966,130.657,137.409,1.218,1.385,3
229,129.084,125.022,146.477,1.254,1.041,1
230,129.446,124.589,149.523,1.194,1.143,2
231,123.271,129.516,142.488,1.268,1.183,5
232,124.73,127.878,145.91,1.019,1.294,1
233,134.741,126.717,146.818,1.346,1.112,2
234,128.083,130.543,135.392,1.224,1.293,0
235,133.056,125.91,139.985,0.966,1.264,4
236,127.465,133.122,139.903,1.167,1.002,1
237,134.172,133.987,151.809,1.246,1.185,1
238,126.017,126.143,142.554,1.35,1.096,3
239,123.333,123.362,137.928,1.398,1.244,4
240,127.069,126.155,143.433,1.002,1.206,3
241,133.36,130.08,152.982,0.996,1.313,5
242,133.035,129.474,150.374,1.128,1.174,0
243,137.758,122.688,136.58,1.349,1.22,1
244,123.773,124.635,136.394,1.108,1.285,2
245,126.576,132.767,141.774,0.978,1.368,1
246,134.38,129.887,138.887,1.206,1.138,1
247,131.488,123.317,143.287,0.987,1.091,0
248,128.098,126.131,138.219,1.203,1.312,5
249,125.786,124.612,141.236,1.197,1.203,1
250,127.177,120.274,140.052,1.267,1.216,2
251,129.436,126.525,137.652,0.995,1.298,2
252,124.309,122.647,136.458,1.362,1.044,5
253,122.007,131.431,149.608,1.039,1.327,3
254,127.527,123.151,151.285,1.2,1.036,1
255,132.935,131.41,142.606,1.251,1.002,5
256,123.979,133.667,144.117,1.106,1.288,2
257,137.187,127.987,140.852,1.158,1.328,5
258,137.961,125.04,144.88,1.055,1.074,0
259,124.803,123.699,152.983,1.194,1.033,5
260,127.48,120.602,150.386,1.334,1.007,3
261,135.959,128.024,136.107,1.208,1.085,2
262,122.279,126.595,145.564,1.098,1.057,4
263,133.81,133.204,138.289,1.075,1.038,0
264,133.417,134.083,146.734,0.963,1.357,5
265,126.622,124.961,141.813,1.374,1.046,3
266,127.812,134.845,143.796,1.332,1.189,0
267,137.495,120.59,139.104,1.274,1.216,1
268,125.182,127.421,142.238,0.969,1.317,0
269,130.558,123.699,139.884,0.987,1.086,1
270,129.974,133.64,138.471,1.266,1.048,2
271,130.67,125.247,142.206,1.302,1.35,0
272,128.701,127.811,148.604,1.034,1.387,3
273,131.227,129.022,139.012,1.291,1.334,4
274,127.124,126.741,141.191,1.2,1.295,0
275,123.059,121.511,148.869,1.29,1.049,5
276,126.907,129.825,137.013,1.186,1.281,1
277,121.463,120.552,141.56,1.067,1.38,0
278,121.105,126.965,143.361,1.333,1.256,2
279,122.845,122.951,135.197,1.043,1.049,0
280,121.213,124.181,145.377,1.234,1.026,0
281,126.234,132.803,135.397,1.251,1.351,2
282,126.762,131.365,135.158,1.079,1.225,2
283,137.168,123.798,148.869,1.075,1.382,2
284,122.467,134.309,153.032,1.262,1.09,5
285,133.616,132.583,141.745,1.173,1.21,1
286,134.771,125.887,139.234,1.24,1.103,1
287,136.925,123.769,138.696,0.963,1.398,1
288,124.609,125.17,144.205,1.265,1.16,4
289,133.627,125.026,150.324,1.153,1.194,1
290,129.14,132.221,147.995,1.033,1.352,5
291,127.115,132.013,144.309,1.047,1.019,2
292,135.066,122.218,143.043,1.268,1.083,0
293,134.802,127.031,146.532,1.108,1.112,4
294,129.7,129.403,140.234,1.349,1.205,2
295,135.059,123.179,147.343,1.391,1.336,3
296,122.377,126.884,136.847,1.277,1.037,4
297,130.861,123.889,143.723,1.106,1.026,0
298,137.941,123.362,139.393,1.316,1.041,5
299,121.586,120.599,139.218,1.111,1.038,2
300,127.28,133.897,141.899,1.301,1.337,4
301,134.771,132.365,145.801,1.236,1.36,4
302,135.094,133.849,142.252,0.954,1.303,2
303,129.378,123.999,146.78,1.294,1.213,1
304,132.773,120.121,136.665,1.343,1.371,5
305,136.996,123.924,150.914,1.238,1.371,1
306,127.345,134.387,146.641,1.232,1.13,4
307,128.556,126.443,135.335,1.015,1.398,3
308,135.687,133.646,150.951,1.05,1.371,3
309,124.821,120.427,138.358,1.395,1.384,1
310,123.295,123.003,149.178,1.033,1.033,5
311,135.92,126.377,139.851,1.007,1.282,4
312,129.268,134.035,145.927,1.151,1.392,4
313,127.916,121.849,136.029,0.963,1.305,2
314,132.598,129.804,141.024,1.219,1.143,1
315,135.224,134.588,151.252,1.362,1.202,2
316,135.379,122.295,141.036,0.953,1.34,2
317,134.707,121.675,138.023,1.096,1.079,1
318,131.477,129.075,145.216,1.334,1.178,2
319,134.451,133.299,150.173,1.186,1.333,1
320,125.01,126.378,151.689,1.192,1.135,4
321,122.563,131.064,152.11,1.164,1.186,2
322,131.58,125.511,145.295,1.243,1.248,0
323,125.965,121.287,135.751,1.127,1.242,3
324,124.299,133.388,144.756,1.157,1.29,3
325,135.661,125.687,138.6,1.018,1.239,2
326,121.039,123.048,143.131,1.086,1.067,1
327,131.486,125.552,145.38,1.014,1.4,5
328,124.527,134.272,140.898,1.022,1.326,4
329,133.306,120.767,149.855,1.187,1.206,1
330,122.071,120.898,143.103,1.156,1.33,5
331,127.09,127.953,150.139,1.273,1.011,4
332,135.202,125.501,148.392,1.35,1.01,1
333,130.002,124.693,150.976,1.001,1.018,3
334,122.478,125.369,140.924,1.208,1.261,5
335,129.016,134.043,135.838,1.133,1.379,4
336,131.339,134.959,139.84,1.154,1.223,3
337,136.353,120.324,141.221,1.203,1.336,5
338,124.474,134.109,141.979,1.071,1.256,2
339,130.655,126.414,139.315,1.386,1.398,2
340,121.094,124.872,135.27,1.078,1.055,2
341,125.521,123.962,135.584,1.135,1.348,4
342,123.586,132.003,142.16,0.978,1.025,0
343,135.998,125.079,137.221,1.059,1.332,2
344,121.528,121.849,141.609,1.157,1.071,5
345,130.163,121.174,135.04,1.382,1.071,0
346,124.147,134.467,138.807,1.175,1.026,4
347,126.749,121.187,147.634,1.195,1.349,5
348,132.662,134.168,142.307,1.297,1.163,3
349,123.732,132.061,142.296,1.201,1.16,4
350,131.207,122.403,137.033,1.227,1.312,0
351,121.136,122.42,147.496,1.026,1.225,3
352,135.606,127.197,153.306,0.98,1.273,4
353,127.941,125.756,146.143,1.322,1.399,2
354,125.255,123.294,146.101,1.144,1.322,2
355,129.577,129.63,147.305,1.121,1.306,4
356,130.885,128.034,137.46,1.11,1.111,1
357,137.281,123.184,135.873,1.089,1.292,1
358,130.82,128.782,143.679,1.029,1.085,5
359,134.032,128.182,150.341,1.065,1.042,4
360,125.555,121.031,148.941,1.073,1.199,1
361,131.128,128.056,150.837,1.363,1.205,2
362,133.286,133.924,136.769,1.047,1.04,2
363,122.041,122.593,142.471,1.011,1.004,0
364,134.15,126.683,136.453,1.194,1.131,2
365,122.911,130.273,138,1.358,1.255,0
366,124.178,128.938,153.815,1.026,1.373,1
367,127.367,133.421,150.141,1.233,1.073,0
368,122.842,127.916,136.035,1.181,1.29,0
369,129.897,125.889,141.945,1.32,1.224,4
370,125.726,122.472,146.49,1.226,1.311,3
371,121.603,120.741,141.197,1.221,1.092,1
372,121.339,133.545,138.576,1.101,1.173,5
373,122.012,127.977,149.912,1.02,1.352,1
374,126.222,134.606,142.477,1.237,1.075,4
375,136.733,131.626,138.38,1.025,1.054,2
376,127.869,125.774,147.609,1.283,1.239,0
377,123.774,126.065,136.923,1.299,1.225,1
378,127.098,124.013,143.553,1.144,1.246,4
379,126.684,130.179,151.086,1.007,1.173,4
380,122.145,131.722,139.296,1.231,1.087,3
381,123.994,126.27,150.113,1.388,1.029,5
382,131.617,126.024,140.855,1.319,1.194,4
383,137.554,124.432,145.673,1.194,1.1,3
384,121.591,128.861,139.431,1.327,1.362,0
385,133.891,124.49,138.848,1.221,1.3,5
386,132.901,129.592,153.523,1.037,1.039,0
387,132.402,124.237,135.057,1.378,1.06,2
388,137.66,130.8,146.497,0.954,1.359,5
389,121.012,128.484,153.864,1.138,1.015,3
390,133.628,124.592,151.712,1.039,1.323,4
391,121.432,130.429,137.384,1.305,1.379,5
392,129.835,128.528,136.078,1.013,1.346,4
393,126.629,125.907,139.618,1.098,1.228,1
394,125.981,132.112,137.991,1.156,1.392,0
395,124.177,120.351,139.543,1.24,1.059,5
396,122.417,122.638,145.395,1.18,1.245,4
397,123.862,125.258,145.04,0.959,1.2,0
398,121.764,124.818,143.737,1.152,1.075,3
399,124.479,125.13,139.983,1.064,1.375,1
400,122.045,128.059,144.657,0.969,1.029,2
401,122.362,128.256,145.824,1.016,1.328,4
402,135.442,122.155,145.875,1.058,1.049,3
403,129.713,128.76,144.031,1.245,1.239,4
404,131.481,121.527,152.462,1.153,1.105,4
405,127.666,125.982,152.786,1.244,1.293,3
406,129.173,126.574,150.124,1.325,1.176,1
407,134.405,127.752,138.621,1.007,1.177,2
408,131.144,125.91,149.591,1.198,1.257,2
409,137.508,131.074,152.566,1.007,1.311,1
410,133.039,126.77,146.997,0.995,1.266,0
411,123.655,130.446,150.725,1.088,1.389,1
412,133.019,120.557,147.146,1.219,1.188,3
413,127.248,125.643,153.756,1.184,1.169,1
414,130.788,122.491,150.394,1.128,1.232,0
415,125.183,121.468,152.487,1.303,1.024,1
416,125.767,125.971,152.575,1.351,1.173,2
417,134.375,124.719,151.692,1.041,1.286,1
418,135.451,120.12,144.224,1.318,1.148,5
419,136.437,120.796,153.907,1.067,1.117,4
420,129.454,133.885,140.04,1.194,1.164,3
421,129.54,130.226,143.316,1.346,1.098,2
422,122.05,130.838,139.708,1.104,1.14,0
423,133.343,125.16,141.684,1.25,1.367,1
424,126.139,125.55,145.992,1.048,1.181,1
425,124.329,131.559,145.762,1.338,1.128,5
426,131.33,125.767,137.621,0.958,1.209,2
427,128.787,127.598,148.355,1.376,1.286,3
428,131.313,134.579,142.805,1.305,1.398,4
429,128.604,129.96,150.875,1.317,1.036,1
430,124.202,126.462,137.683,1.277,1.128,0
431,127.033,132.344,142.936,1.013,1.349,0
432,128.524,120.076,140.322,1.375,1.067,5
433,130.84,128.496,140.755,1.265,1.111,3
434,121.338,128.457,146.407,1.166,1.057,4
435,124.497,123.543,144.973,1.208,1.161,3
436,137.236,121,151.472,1.268,1.033,4
437,126.462,122.508,146.189,1.051,1.248,5
438,124.474,132.382,137.322,1.308,1.323,0
439,123.602,122.121,151.198,1.049,1.07,2
440,132.835,130.4,150.096,1.196,1.217,5
441,121.875,121.796,145.478,1.236,1.373,0
442,124.397,123.759,149.583,1.073,1.03,0
443,137.91,134.969,152.093,1.188,1.35,1
444,125.208,120.586,151.901,1.372,1.212,3
445,123.768,130.019,150.154,1.269,1.001,4
446,128.946,130.859,152.18,1.204,1.186,1
447,129.327,131.77,146.059,1.072,1.331,2
448,125.094,133.287,140.577,1.263,1.179,1
449,132.529,121.965,144.524,1.16,1.284,0
450,122.548,124.579,148.775,0.959,1.244,2
451,132.861,131.83,135.852,0.961,1.267,5
452,123.354,124.987,151.866,1.226,1.114,2
453,126.135,133.165,153.514,1.082,1.024,4
454,126.426,133.016,149.463,1.28,1.074,3
455,133.175,129.044,142.322,1.359,1.115,0
456,134.257,130.755,148.257,0.979,1.274,4
457,121.431,121.278,145.868,1.283,1.36,2
458,123.19,125.167,139.639,0.958,1.262,3
459,121.426,123.77,145.16,1.174,1.384,4
460,129.723,120.304,149.559,1.341,1.086,5
461,132.612,132.366,148.91,1.25,1.385,3
462,132.971,123.976,151.864,1.009,1.306,3
463,129.479,124.254,147.347,1.025,1.185,0
464,125.676,129.21,144.231,1.25,1.028,1
465,135.534,130.191,141.063,1.016,1.324,1
466,121.02,132.029,150.354,1.163,1.249,4
467,129.24,130.971,142.558,1.339,1.063,4
468,135.467,124.288,149.909,1.159,1.235,4
469,132.379,127.77,145.17,1.027,1.016,5
470,121.05,131.162,149.331,1.374,1.263,3
471,134.269,124.312,146.866,1.08,1.02,2
472,135.997,131.934,136.359,1.118,1.091,3
473,126.107,124.748,146.096,1.395,1.093,2
474,124.584,124.05,142.356,1.148,1.095,0
475,127.067,121.969,138.476,1.205,1.003,3
476,131.141,127.278,136.522,1.093,1.051,2
477,124.331,125.315,152.687,1.092,1.153,0
478,133.704,120.164,140.67,1.152,1.046,4
479,123.638,133.955,143.759,1.327,1.393,2
480,130.639,121.378,141.359,1.07,1.294,5
481,134.457,131.17,147.198,1.344,1.246,5
482,134.018,129.3,136.779,1.361,1.304,1
483,134.461,134.604,149.84,1.197,1.308,2
484,133.303,134.537,135.622,1.052,1.4,0
485,123.333,131.509,140.913,1.385,1.134,0
486,133.996,130.933,137.848,1.011,1.398,4
487,127.453,123.252,150.356,1.274,1.379,2
488,131.46,133.483,139.578,1.063,1.059,4
489,134.901,131.478,135.571,1.4,1.261,3
490,126.941,134.686,135.415,1.006,1.311,5
491,127.417,130.059,141.331,1.029,1.27,3
492,132.309,128.7,144.745,1.109,1.007,1
493,135.845,123.692,141.328,1.158,1.362,3
494,133.031,124.249,149.762,1.371,1.123,4
495,132.056,128.153,141.571,1.371,1.104,2
496,127.406,132.771,138.279,1.066,1.073,1
497,121.868,122.657,153.456,1.113,1.12,2
498,131.652,130.66,146.955,1.362,1.269,2
499,123.974,125.817,151.875,1.328,1.256,5
500,134.662,123.496,138.12,0.96,1.297,1
501,135.281,134.843,144.658,1.165,1.328,0
502,122.219,134.381,141.964,1.085,1.106,5
503,135.615,133.287,145.534,1.224,1.193,4
504,132.349,120.914,136.574,1.176,1.095,0
505,126.93,120.367,141.043,0.987,1.105,3
506,122.937,127.828,141.173,1.052,1.344,0
507,133.238,131.068,146.157,1.305,1.303,2
508,131.287,120.389,148.431,1.036,1.005,5
509,124.472,131.548,149.389,1.121,1.055,1
510,127.47,134.968,149.709,1.063,1.31,2
511,124.275,130.548,144.364,1.301,1,4
512,128.564,121.205,146.837,1.122,1.354,1
513,122.183,129.854,145.554,0.989,1.239,4
514,136.503,131.954,142.412,1.292,1.399,1
515,131.457,127.88,139.366,0.967,1.102,3
516,131.907,131.398,143.011,1.035,1.359,0
517,137.297,133.56,148.199,1.019,1.392,1
518,135.854,131.483,152.376,1.336,1.294,3
519,126.311,128.471,143.644,1.362,1,5
520,122.57,123.814,151.596,1.086,1.012,4
521,136.162,127.076,142.673,1.276,1.045,2
522,134.259,125.507,136.503,0.987,1.129,5
523,122.801,130.412,152.646,1.009,1.057,2
524,124.512,122.953,147.178,1.191,1.137,2
525,134.343,132.74,151.884,1.079,1.165,1
526,125.878,123.498,149.204,1.011,1.339,2
527,137.179,121.914,144.987,1.164,1.318,4
528,123.242,126.195,150.529,1.347,1.134,3
529,123.399,125.11,141.176,1.278,1.195,1
530,134.563,129.938,147.385,1.333,1.168,4
531,127.513,125.87,145.121,1.138,1.121,4
532,126.722,131.921,153.47,1.116,1.233,3
533,137.36,125.588,152.738,1.152,1.316,4
534,121.792,124.784,151.52,1.178,1.053,0
535,121.671,131.48,150.692,1.319,1.364,0
536,135.48,129.58,148.723,1.246,1.218,0
537,135.997,129.657,153.152,1.28,1.251,1
538,127.015,125.54,141.581,1.146,1.353,1
539,124.553,133.587,147.415,1.229,1.101,4
540,132.654,121.104,142.658,1.089,1.36,0
541,131.556,124.602,147.7,1.221,1.236,5
542,136.538,126.036,142.58,0.972,1.386,4
543,122.13,130.747,135.728,1.249,1.124,3
544,126.927,120.898,136.938,1.008,1.023,3
545,130.013,134.612,144.241,1.345,1.099,0
546,126.399,127.884,148.909,1.278,1.118,1
547,126.621,125.204,138.231,1.151,1.352,5
548,137.772,126.831,152.975,1.129,1.042,4
549,137.817,128.51,139.593,0.973,1.225,5
550,127.444,128.901,153.33,1.041,1.342,1
551,128.104,120.595,152.839,1.266,1.299,5
552,121.952,125.928,146.929,1.355,1.273,4
553,133.43,127.165,151.727,1.039,1.041,0
554,122.751,121.277,137.799,1.058,1.149,0
555,134.269,120.571,153.47,1.164,1.38,5
556,136.073,126.83,151.231,0.952,1.396,5
557,121.331,129.807,145.423,1.282,1.042,2
558,134.199,126.566,145.669,1.321,1.194,5
559,131.71,132.991,145.81,1.332,1.277,2
560,130.618,122.556,136.788,1.25,1.309,1
561,124.797,125.322,135.725,1.345,1.245,3
562,135.957,127.024,137.144,0.961,1.357,2
563,133.528,134.115,135.374,0.997,1.238,3
564,122.88,120.62,136.681,1.322,1.213,1
565,123.617,121.56,137.907,1.278,1.066,3
566,123.82,125.276,143.573,1.263,1.123,1
567,130.944,131.705,140.133,0.989,1.385,2
568,130.646,127.344,144.292,1.345,1.257,2
569,131.454,121.29,150.452,1.122,1.057,4
570,131.36,121.191,135.866,1.029,1.332,1
571,134.252,125.18,151.903,1.222,1.091,0
572,123.173,121.896,141.947,1.005,1.05,4
573,130.333,129.221,149.575,0.994,1.181,5
574,125.631,127.318,148.6,1.306,1.254,5
575,133.534,127.953,135.871,1.36,1.147,1
576,126.798,125.471,136.831,1.25,1.364,2
577,121.347,121.481,137,0.968,1.26,2
578,127.469,130.721,139.79,0.976,1.143,4
579,127.749,124.732,152.133,1.027,1.083,0
580,130.187,133.472,141.606,1.008,1.263,1
